entry_identifier,start_date,end_date,source_ip,dest_ip,tool,user_context,command,description,output,comments,operator_name,extra_fields,oplog_id,tags
0,2024-01-03 13:19:53,2024-01-10 04:58:31,155.225.136.72,84.240.138.150,OST,seanlopez@green-bullock.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Richard Mcbride,,,
1,2024-06-08 22:55:04,2024-06-08 22:55:04.988216,206.174.99.211,84.240.138.150,Poseidon,sfranklin@gordon.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Christy Green,,,
2,2024-04-10 21:21:23,2024-04-10 21:21:23.273121,163.193.224.188,18.176.66.97,Poseidon,sfranklin@gordon.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Christy Green,,,
3,2024-04-28 06:15:22,2024-04-28 06:15:22.388439,163.193.224.188,174.200.177.205,OST,johngross@jones.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Christy Green,,,
4,2024-02-21 14:33:41,2024-02-21 14:33:41.451434,206.174.99.211,18.176.66.97,Poseidon,jschmitt@martinez.com,pty curl,"PID 10472, Callback 96",Failed,Attempting to use cURL,Christy Green,,,
5,2024-05-02 18:27:49,2024-05-02 18:27:49.722300,63.79.24.226,64.69.133.141,Cobalt Strike,seanlopez@green-bullock.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
6,2024-01-19 11:31:17,2024-02-15 18:53:29,63.79.24.226,35.79.43.142,Cobalt Strike,hendersonjohn@dalton-lam.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Richard Mcbride,,,
7,2023-12-18 02:40:02,2023-12-30 08:52:09,206.0.98.240,126.91.142.205,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
8,2024-04-11 11:24:04,2024-04-11 11:24:04.825009,63.79.24.226,157.2.65.239,Cobalt Strike,johngross@jones.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Deborah Hunter,,,
9,2023-12-27 08:09:41,2024-01-05 11:07:01,112.130.185.251,174.200.177.205,OST,johngross@jones.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Deborah Hunter,,,
10,2024-06-26 21:14:12,2024-06-26 21:14:12.862566,155.225.136.72,18.176.66.97,Cobalt Strike,hendersonjohn@dalton-lam.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Deborah Hunter,,,
11,2024-06-19 15:13:27,2024-06-19 15:13:27.502193,163.193.224.188,35.79.43.142,Poseidon,seanlopez@green-bullock.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Failed,Attempting to start a SOCKS proxy,Deborah Hunter,,,
12,2024-05-13 23:21:26,2024-05-13 23:21:26.772745,112.130.185.251,64.69.133.141,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Christy Green,,,
13,2024-03-01 13:09:51,2024-03-01 13:09:51.990202,112.130.185.251,35.79.43.142,Cobalt Strike,hendersonjohn@dalton-lam.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
14,2024-03-28 11:57:36,2024-03-28 11:57:36.305867,42.118.146.148,174.200.177.205,Cobalt Strike,jschmitt@martinez.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Christy Green,,,
15,2024-05-05 14:18:41,2024-05-05 14:18:41.301486,206.174.99.211,126.91.142.205,Cobalt Strike,fwilliams@mays.com,shinject 13530 x64 /edge.bin,PID 20047,Success,Attempting process injection,Richard Mcbride,,,
16,2024-06-18 15:12:37,2024-06-18 15:12:37.933895,112.130.185.251,174.200.177.205,Cobalt Strike,hendersonjohn@dalton-lam.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Christy Green,,,
17,2023-12-26 17:06:54,2024-01-06 22:06:32,206.174.99.211,35.79.43.142,Poseidon,sarahallen@combs-anderson.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Success,Attempting to start a SOCKS proxy,Christy Green,,,
18,2024-04-02 22:56:37,2024-04-02 22:56:37.889040,155.225.136.72,157.2.65.239,OST,seanlopez@green-bullock.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Richard Mcbride,,,
19,2024-06-13 10:09:55,2024-06-13 10:09:55.890801,206.174.99.211,157.2.65.239,OST,sarahallen@combs-anderson.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Christy Green,,,
20,2024-03-16 16:47:27,2024-03-16 16:47:27.447656,63.79.24.226,35.79.43.142,OST,hendersonjohn@dalton-lam.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Deborah Hunter,,,
21,2024-05-03 16:41:51,2024-05-03 16:41:51.332896,155.225.136.72,64.69.133.141,OST,johngross@jones.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Deborah Hunter,,,
22,2024-02-23 17:52:25,2024-02-23 17:52:25.361346,206.0.98.240,18.176.66.97,OST,seanlopez@green-bullock.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Richard Mcbride,,,
23,2023-12-29 01:46:26,2024-02-16 00:21:13,112.130.185.251,84.240.138.150,Poseidon,seanlopez@green-bullock.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Richard Mcbride,,,
24,2024-06-17 15:17:12,2024-06-17 15:17:12.036017,112.130.185.251,64.69.133.141,Poseidon,seanlopez@green-bullock.com,pty curl,"PID 10472, Callback 96",Failed,Attempting to use cURL,Christy Green,,,
25,2024-01-19 23:01:26,2024-01-20 14:14:01,155.225.136.72,157.2.65.239,OST,seanlopez@green-bullock.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Christy Green,,,
26,2024-05-12 08:54:52,2024-05-12 08:54:52.236856,112.130.185.251,64.69.133.141,Poseidon,seanlopez@green-bullock.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Deborah Hunter,,,
27,2024-04-01 12:58:11,2024-04-01 12:58:11.972541,155.225.136.72,18.176.66.97,Cobalt Strike,fwilliams@mays.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Christy Green,,,
28,2024-03-04 18:12:45,2024-03-04 18:12:45.671717,63.79.24.226,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Deborah Hunter,,,
29,2024-03-18 16:29:25,2024-03-18 16:29:25.116746,42.118.146.148,157.2.65.239,Poseidon,sarahallen@combs-anderson.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Christy Green,,,
30,2024-05-21 20:36:34,2024-05-21 20:36:34.695647,155.225.136.72,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Christy Green,,,
31,2024-04-22 08:53:47,2024-04-22 08:53:47.132912,163.193.224.188,174.200.177.205,Cobalt Strike,sfranklin@gordon.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Deborah Hunter,,,
32,2024-03-12 02:54:49,2024-03-12 02:54:49.820705,42.118.146.148,157.2.65.239,Cobalt Strike,jschmitt@martinez.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Richard Mcbride,,,
33,2024-01-02 17:13:20,2024-01-09 19:12:28,163.193.224.188,35.79.43.142,Cobalt Strike,sfranklin@gordon.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Deborah Hunter,,,
34,2024-03-12 02:37:49,2024-03-12 02:37:49.517836,206.0.98.240,157.2.65.239,Poseidon,sfranklin@gordon.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
35,2024-06-03 05:49:15,2024-06-03 05:49:15.958037,206.0.98.240,18.176.66.97,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Christy Green,,,
36,2023-12-15 08:52:41,2024-01-21 17:48:02,206.0.98.240,84.240.138.150,Poseidon,jschmitt@martinez.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Richard Mcbride,,,
37,2024-02-19 03:09:01,2024-02-19 03:09:01.536439,163.193.224.188,157.2.65.239,Poseidon,fwilliams@mays.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Christy Green,,,
38,2024-02-13 05:12:46,2024-02-14 18:33:26,112.130.185.251,174.200.177.205,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Deborah Hunter,,,
